ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol,absLFC
ENSG00000267026.5,2.843880939,-1.694781272,0.410090274,6.47E-06,3.37E-05,AL136084.1,1.694781272
ENSG00000011465.18,85326.19259,-1.694729479,0.260370888,1.28E-11,1.71E-10,DCN,1.694729479
ENSG00000157368.11,742.2310505,-1.69449468,0.301210328,2.99E-09,2.77E-08,IL34,1.69449468
ENSG00000238279.1,12.78159652,-1.694142929,0.255073118,5.00E-12,7.06E-11,BX470102.1,1.694142929
ENSG00000285955.1,7.385793823,-1.694020403,0.313547392,9.56E-09,8.19E-08,BX842242.1,1.694020403
ENSG00000197599.12,61.92477936,1.694007617,0.330641909,5.01E-08,3.81E-07,CCDC154,1.694007617
ENSG00000266265.4,38.59609064,-1.69398098,0.413810541,6.93E-06,3.60E-05,KLF14,1.69398098
ENSG00000211897.9,11314.67242,1.693904262,0.574286125,0.000506598,0.001777209,IGHG3,1.693904262
ENSG00000150045.12,35.63946757,-1.693509305,0.255125023,5.16E-12,7.27E-11,KLRF1,1.693509305
ENSG00000223774.5,4.612615356,-1.69322537,0.340749608,1.11E-07,7.99E-07,AL513217.1,1.69322537
ENSG00000251635.2,7.859496861,1.692442907,0.402801839,4.60E-06,2.47E-05,LINC02278,1.692442907
ENSG00000259544.1,1.422375003,-1.692164215,0.547550649,0.000265591,0.000993474,AC021739.3,1.692164215
ENSG00000286983.1,1.298489066,-1.691066376,0.836496796,0.00461264,0.012652953,AC109635.5,1.691066376
ENSG00000124406.16,1427.133842,-1.691029708,0.278182225,2.06E-10,2.29E-09,ATP8A1,1.691029708
ENSG00000287368.1,1.159077932,-1.689918089,0.554305227,0.000439163,0.001562971,AL589645.1,1.689918089
ENSG00000226549.3,7.839393127,-1.689909343,0.593541687,0.000600019,0.002069825,SCDP1,1.689909343
ENSG00000285237.1,0.997836501,-1.689390048,0.713833636,0.002768173,0.008089332,PRSS52P,1.689390048
ENSG00000283378.1,1.237718134,-1.688658042,0.778050678,0.004293634,0.011891647,CNTNAP3C,1.688658042
ENSG00000255221.3,3.65939836,1.688483091,0.494396938,0.000101981,0.000418712,CARD17,1.688483091
ENSG00000178695.6,10834.84378,-1.688424381,0.166012709,3.60E-25,2.36E-23,KCTD12,1.688424381
ENSG00000145087.13,7.227726494,1.688121105,0.360467889,2.84E-06,1.59E-05,STXBP5L,1.688121105
ENSG00000253608.2,2.007235451,-1.687787563,0.517524485,0.000181685,0.000705407,AC022915.2,1.687787563
ENSG00000259030.7,44.44596019,-1.687751716,0.247064917,1.57E-12,2.40E-11,FPGT-TNNI3K,1.687751716
