symbol,mean_tumor,mean_normal,log2FC_tcga
ULBP2,31.274,7.965,1.848
KCNK1,600.63,166.934,1.841
PDCD1,42.551,11.16,1.841
ASPN,2547.51,712.404,1.837
LAMP3,314.85,87.458,1.836
CDC7,264.574,75.082,1.803
SLC38A5,178.833,50.811,1.795
RELL2,70.092,19.546,1.791
ICOS,47.603,13.1,1.785
GPR84,42.257,11.581,1.782
IL9R,8.464,1.752,1.782
ADAMTSL2,195.819,56.38,1.778
RAD54B,206.536,60.08,1.765
MCM2,1433.695,422.424,1.761
COL5A2,11069.308,3269.403,1.759
C21orf58,148.994,43.35,1.758
RNASEH2A,683.76,201.684,1.756
STMN1,4437.099,1314.072,1.755
SH2D2A,84.729,24.449,1.752
PLK4,239.767,70.513,1.751
CCNF,646.793,194.266,1.73
GALNT5,273.345,81.783,1.729
GPR68,271.032,81.165,1.727
PLAUR,805.257,244.361,1.716
PMAIP1,392.408,118.991,1.713
RGS4,270.028,81.915,1.709
KMO,260.612,79.506,1.7
FER1L6,5.402,0.979,1.694
ADAM19,509.709,156.796,1.694
LTA,21.759,6.048,1.691
GPR141,14.843,4.048,1.65
FCGR1A,147.942,46.538,1.648
IL12B,5.987,1.25,1.635
ZNF367,236.337,75.659,1.63
XRCC2,89.216,28.232,1.626
ADAMTS20,2.376,0.097,1.621
EVPL,1137.919,369.661,1.619
CXCR3,100.075,32.029,1.614
SLC2A6,134.233,43.286,1.611
TBX20,4.199,0.706,1.608
MAL2,7022.688,2316.796,1.599
OAS2,2669.082,881.841,1.597
CACNA1E,7.898,1.949,1.593
KCNJ6,5.67,1.221,1.587
RSAD2,844.838,280.938,1.585
TUBA1C,4440.173,1480.491,1.584
COL1A2,103665.949,34710.298,1.578
FEN1,939.42,314.086,1.578
BOP1,433.888,145.701,1.568
LIMD2,472.093,159.273,1.562
RASGRP1,379.033,127.829,1.561
SIX4,508.719,172.406,1.556
RAB31,4027.731,1368.868,1.556
STX1A,153.744,51.848,1.55
PPP1R14B,1610.506,551.856,1.543
CALCA,5.119,1.109,1.537
RCC1,1013.061,348.468,1.537
VCAN,9410.292,3245.292,1.536
EGLN3,993.291,343.077,1.531
P2RY6,113.454,38.641,1.53
HMGA1,2320.145,802.783,1.53
KIF24,214.858,73.855,1.528
CCDC87,44.989,15,1.523
TAP1,3609.982,1261.541,1.516
DPP3,1441.504,506.351,1.508
ARSI,107.578,37.209,1.507
SMC4,2126.526,751.942,1.499
TIMELESS,1069.877,379.095,1.494
OAS3,3100.693,1105.037,1.488
SLC12A8,466.122,166.046,1.484
CDH11,2610.967,936.33,1.479
TNFRSF4,73.972,25.911,1.478
SLAMF8,462.239,165.907,1.473
RND1,418.724,150.889,1.466
MICAL2,2374.139,859.589,1.465
COL12A1,12450.597,4515.845,1.463
FANCD2,485.549,175.687,1.461
FLVCR1,265.821,96.278,1.456
CATSPER1,5.273,1.297,1.449
TMEM97,888.788,324.888,1.449
NOD2,208.441,75.774,1.448
CENPL,238.016,86.71,1.446
PLEK2,183.005,66.712,1.442
BRCA2,195.273,71.261,1.442
RUSC1,1454.465,537.258,1.435
MTHFD2,2069.413,764.853,1.435
TUFT1,1327.231,490.817,1.433
LOXL1,1206.986,446.901,1.431
MXD3,230.365,85.025,1.427
CD24,29814.207,11101.801,1.425
PSMD3,4993.449,1860.133,1.424
CHEK1,256.486,94.995,1.423
SEMA7A,208.807,77.601,1.416
CHPF,2964.033,1115.263,1.409
SLC39A11,1824.186,689.99,1.401
NACC1,2234.14,847.887,1.397
COL3A1,96471.775,36846.425,1.389
ACOT7,648.475,247.159,1.388
DONSON,336.731,128.427,1.384
CDK5,396.034,152.54,1.371
BST2,4454.284,1728.091,1.366
SYCP2,745.674,289.414,1.362
LMNB2,1587.058,619.056,1.357
EIF4EBP1,1185.719,465.498,1.347
FNDC1,1652.574,651.33,1.342
ZNF469,589.373,233.959,1.329
PLAU,2047.786,815.614,1.327
CHST11,190.304,75.877,1.315
MMP14,9771.058,3937.009,1.311
CKAP2,814.921,328.239,1.309
SLC35A2,1170.452,477.144,1.293
MICB,203.509,82.576,1.291
PCDH17,223.569,90.839,1.29
TTYH3,2288.709,938.479,1.285
OSCAR,111.533,45.2,1.284
CMPK2,401.272,164.518,1.281
IER3,2964.902,1222.732,1.277
WDR76,273.307,112.865,1.268
PGP,490.823,203.516,1.266
CENPO,158.506,65.45,1.263
LRRC59,4687.351,1958.074,1.259
CTSD,28497.428,11940.412,1.255
STARD3,1678.417,703.054,1.254
CDK5R1,137.92,57.451,1.249
HYAL3,106.829,44.494,1.245
NFE2L3,668.371,282.192,1.241
OLFML2B,1575.035,667.525,1.237
WDHD1,315.262,133.36,1.235
FKBP10,3364.782,1434.69,1.229
PSME2,2624.957,1120.674,1.227
RUNX2,422.311,179.954,1.226
LPCAT1,2130.773,911.498,1.224
ZNF668,342.829,146.308,1.223
INTS7,908.905,389.309,1.221
FLAD1,1346.8,579.481,1.215
GK,188.113,80.767,1.21
TG,11.424,4.377,1.208
LRWD1,379.939,165.025,1.198
ISG20,415.94,180.905,1.197
TCF19,693.469,303.468,1.19
SDSL,336.994,147.109,1.19
DBF4,313.709,137.833,1.181
ATP6AP1,6338.156,2797.72,1.18
BCL9,1394.057,615.308,1.179
ENTPD7,547.39,241.459,1.177
S100A11,10825.637,4795.249,1.175
BAX,706.908,312.708,1.174
FOXS1,68.309,29.939,1.164
PARP1,6095.462,2733.549,1.157
SYNGR2,5880.993,2636.539,1.157
SEPHS2,3217.924,1444.865,1.155
AEBP1,15530.894,6982.135,1.153
STAT1,8162.352,3678.031,1.15
PARP10,1838.565,827.961,1.15
SLC25A39,3094.855,1394.762,1.149
FCGR3A,1917.544,871.74,1.136
ADAMTS7,206.749,93.606,1.135
HLA-DQB1,2486.799,1132.422,1.134
PASK,335.23,152.487,1.131
TDRKH,564.466,257.617,1.129
FANCB,31.927,14.053,1.129
NCAPG2,736.296,336.724,1.126
SEMA3F,2186.085,1003.212,1.123
NUDT1,285.577,131.058,1.118
GAS2L3,64.578,29.238,1.117
PDIA4,5429.057,2504.878,1.116
HMX3,1.756,0.273,1.115
ST6GAL2,250.712,115.211,1.115
IFITM1,6178.084,2855.911,1.113
RMI1,449.64,207.305,1.113
THBS2,7719.327,3572.495,1.111
SLC20A1,1663.214,770.505,1.109
PLXNA3,1349.581,628.676,1.101
USP35,306.087,142.268,1.1
GPC4,1313.76,616.119,1.091
APOBEC3H,10.63,4.483,1.085
KDELR3,898.901,423.746,1.083
MICALL2,511.119,242.215,1.074
ABCC5,1669.786,793.906,1.072
SULF2,5586.647,2661.133,1.07
MXRA5,8424.87,4022.13,1.067
LPAR2,451.673,215.208,1.066
KNTC1,611.779,292.095,1.064
TFRC,3460.785,1669.163,1.052
ITGA11,1583.519,764.243,1.05
SCIN,324.461,156.592,1.046
BRCA1,428.391,206.977,1.046
MAGED1,6321.381,3064.571,1.044
ASPHD2,96.873,46.55,1.041
SAMD1,373.85,181.17,1.041
TUBG1,1137.006,553.456,1.037
BCL3,1261.809,618.471,1.028
UBE2L6,2540.403,1247.316,1.026
SLC27A4,1031.116,507.122,1.022
BMP8B,107.991,52.733,1.02
RCC2,5021.028,2485.216,1.014
