ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000229057.1,1.239537765,1.246994163,0.674325118,0.013634371,0.032500765,RPS3AP54,1.246994163,ENSG00000229057
ENSG00000287189.1,24.04154241,1.097229029,0.562101388,0.013643093,0.03251761,AL121956.7,1.097229029,ENSG00000287189
ENSG00000259871.1,0.900125638,1.369603305,0.759070424,0.013716802,0.032670278,AC130456.1,1.369603305,ENSG00000259871
ENSG00000203523.3,0.887310127,1.80385878,1.04577473,0.013800609,0.032841976,TAS2R2P,1.80385878,ENSG00000203523
ENSG00000198054.12,0.907034318,4.837351682,1.380958987,0.013831884,0.032907687,DSCR8,4.837351682,ENSG00000198054
ENSG00000162460.7,2.016771962,1.296753795,0.733052831,0.013914674,0.033080613,TMEM82,1.296753795,ENSG00000162460
ENSG00000233515.2,1.426846003,3.095377909,0.658547579,0.013970144,0.033196416,LINC01518,3.095377909,ENSG00000233515
ENSG00000260969.2,1.357209843,1.27235708,0.721025205,0.014044869,0.033347756,WWOX-AS1,1.27235708,ENSG00000260969
ENSG00000243321.3,1.499894029,1.287504643,0.74054122,0.014098767,0.033459553,LINC01998,1.287504643,ENSG00000243321
ENSG00000234289.6,0.714451725,1.330377066,0.752159404,0.014259943,0.033784911,H2BS1,1.330377066,ENSG00000234289
ENSG00000200873.1,0.830694501,1.336316675,0.754400361,0.01427414,0.033814467,RNA5SP399,1.336316675,ENSG00000200873
ENSG00000250415.1,3.516421926,1.019061221,0.509041122,0.014432391,0.034148168,AC022113.1,1.019061221,ENSG00000250415
ENSG00000254867.1,0.849865399,1.043220434,0.510112201,0.01443595,0.034154533,AP006287.1,1.043220434,ENSG00000254867
ENSG00000236106.2,1.424355865,1.293612953,0.725157516,0.014448949,0.034183228,AC010729.1,1.293612953,ENSG00000236106
ENSG00000244217.1,0.538385233,1.386768507,0.723300311,0.014488146,0.034253269,RPS4XP10,1.386768507,ENSG00000244217
ENSG00000184471.8,0.779653961,2.232191502,1.282134752,0.014498881,0.034270399,C1QTNF8,2.232191502,ENSG00000184471
ENSG00000279082.4,2.559862768,1.080460038,0.553494613,0.014526422,0.03432517,LINC01727,1.080460038,ENSG00000279082
ENSG00000286642.1,0.758504482,1.711125595,1.000961753,0.014574619,0.034428702,AC091646.1,1.711125595,ENSG00000286642
ENSG00000185974.7,2.842460987,1.167294,0.636371478,0.014603956,0.034484354,GRK1,1.167294,ENSG00000185974
ENSG00000288043.1,1.102141022,1.270484011,0.713383073,0.014623099,0.034518315,AC006511.6,1.270484011,ENSG00000288043
ENSG00000238001.2,0.727682448,2.915565286,1.464722647,0.014625546,0.034522017,SNRPCP1,2.915565286,ENSG00000238001
ENSG00000185448.10,0.931370207,2.279308834,1.405176902,0.014712538,0.034691918,FAM47A,2.279308834,ENSG00000185448
ENSG00000231980.1,0.541653637,2.156673925,1.118485926,0.01483854,0.034940789,AC011899.1,2.156673925,ENSG00000231980
ENSG00000252747.1,0.740135213,1.441909283,0.804972464,0.014946936,0.035143371,RNA5SP364,1.441909283,ENSG00000252747
ENSG00000232638.1,2.146392778,1.250786926,0.716639467,0.01508605,0.035438641,AL390294.1,1.250786926,ENSG00000232638
ENSG00000268535.1,1.989520195,1.251799308,0.721127443,0.015174583,0.035612541,MTDHP4,1.251799308,ENSG00000268535
ENSG00000236569.3,0.690571396,4.241747716,1.824528776,0.015251579,0.035767597,HNRNPA1P73,4.241747716,ENSG00000236569
