ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,external encapsulating structure,53/613,497/19944,0.10663983903420524,3.469534991351043,9.928082854298767,2.802945886346001e-15,1.1262746197863021e-13,9.602436624993956e-14,COL10A1/COL11A1/MMP1/EPYC/MMP11/HAPLN1/MMP13/COMP/COL20A1/CCN4/FN1/ADAMTS20/ESM1/ADAMTS14/BGN/ADAMDEC1/MATN3/MMP9/ACAN/COL1A1/COL22A1/IGFBPL1/COL5A1/SULF1/CTHRC1/COL5A2/OLFML2B/POSTN/HPX/COL1A2/MFAP2/COL8A1/ASPN/F12/COL3A1/COL12A1/MMP14/ADAM19/SERPINH1/VCAN/SEMA7A/MXRA5/ADAMTSL2/THBS2/RELL2/LOXL1/EDIL3/COL6A3/AEBP1/CTSD/ADAMTS7/SFRP2/COL8A2,53
GO:0072686,mitotic spindle,31/613,194/19944,0.15979381443298968,5.198903482955214,10.465296288952638,4.598772580191744e-14,1.693881233703959e-12,1.4441759506216178e-12,CDC6/CKAP2L/TUBB3/ASPM/KIF20A/PLK1/TPX2/DLGAP5/SPAG5/FAM83D/CDK1/KIF18B/AURKB/SKA3/AURKA/KIFC1/ESPL1/SKA1/KIF23/KIF11/TACC3/CENPE/PRC1/RACGAP1/MAD2L1/PYCR3/CDC7/TUBG1/CKAP2/CLTC/RCC2,31
GO:0000228,nuclear chromosome,33/613,238/19944,0.13865546218487396,4.51116564080771,9.703733903301696,4.3854427148140966e-13,1.4910505230367927e-11,1.2712457424319406e-11,SLC5A8/NEK2/TOP2A/PLK1/NCAPH/CDC45/NCAPG/EME1/MCM10/RAD51/E2F1/ORC1/BIRC5/GINS1/BLM/CHEK1/H2AX/MCM2/TONSL/P3H4/TIMELESS/NCAPG2/SYCP2/WDHD1/TUBG1/BRCA1/SMC4/BRCA2/PARP1/RCC1/LRWD1/MCM6/POLD4,33
GO:0000922,spindle pole,27/613,185/19944,0.14594594594594595,4.748362065164676,9.121016451565763,1.8032284169684934e-11,5.6930497164291e-10,4.853802806576847e-10,CDC6/NEK2/CKAP2L/ASPM/PLK1/TPX2/DLGAP5/CDC20/CENPF/SPAG5/FAM83D/AURKB/AURKA/SGO1/AUNIP/KIF15/DIAPH3/KIF11/CCNB1/POC1A/TACC3/PRC1/MAD2L1/TUBG1/CKAP2/KNTC1/ODF2,27
GO:0051233,spindle midzone,12/613,38/19944,0.3157894736842105,10.274233708251051,10.190046263044263,8.327403004682305e-10,2.453808085379719e-8,2.0920773864394846e-8,CDC6/PLK1/KIF14/KIF18B/AURKB/AURKA/CDCA8/BIRC5/CENPE/PRC1/RACGAP1/RCC2,12
GO:0098644,complex of collagen trimers,10/613,27/19944,0.37037037037037035,12.050027188689505,10.23131812429605,3.681424844557321e-9,1.0169936133089599e-7,8.670724304944218e-8,COL10A1/COL11A1/COL1A1/COL5A1/COL5A2/COL1A2/COL8A1/COL3A1/COL12A1/COL8A2,10
GO:0000794,condensed nuclear chromosome,16/613,83/19944,0.1927710843373494,6.2718213801371885,8.570329098134279,4.001755672192819e-9,1.040456474770133e-7,8.870764895634857e-8,NEK2/PLK1/NCAPH/NCAPG/RAD51/BLM/CHEK1/H2AX/P3H4/NCAPG2/SYCP2/TUBG1/BRCA1/SMC4/BRCA2/RCC1,16
GO:0005581,collagen trimer,16/613,86/19944,0.18604651162790697,6.053036913388216,8.362425558900664,6.86901386749073e-9,1.677789877528489e-7,1.4304567186358637e-7,COL10A1/COL11A1/COL20A1/COL1A1/COL22A1/COL5A1/CTHRC1/COL5A2/C1QTNF6/COL1A2/COL8A1/COL3A1/COL12A1/C1QTNF3/COL6A3/COL8A2,16
GO:0005657,replication fork,15/613,75/19944,0.2,6.507014681892333,8.508581881643758,7.2122189305523285e-9,1.677789877528489e-7,1.4304567186358637e-7,UHRF1/EME1/MCM10/BRIP1/BLM/CHEK1/H2AX/XRCC2/TONSL/TIMELESS/DONSON/WDHD1/PARP1/DNMT1/POLD4,15
GO:0005874,microtubule,41/613,492/19944,0.08333333333333333,2.7112561174551386,6.844059178259186,8.11076709641567e-9,1.7924795283078633e-7,1.5282392739562158e-7,KIF4A/NEK2/TUBB3/ASPM/KIF26B/KIF20A/PLK1/TPX2/KIF14/SPAG5/KIF2C/CDK1/KIF18B/AURKB/SKA3/AURKA/CFAP45/KIFC1/GTSE1/KIF15/SKA1/KIF23/BIRC5/KIF11/CENPE/PRC1/GAS2L3/KIFC2/RACGAP1/TUBA1C/PYCARD/STMN1/RUSC1/KIF24/CDK5/TUBG1/CKAP2/CLTC/KNTC1/ODF2/RCC2,41
