ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9709570,Impaired BRCA2 binding to RAD51,7/428,35/11230,0.2,5.247663551401869,5.009708104800897,2.960721269362779e-4,0.001698732059837161,0.001276996290359327,EXO1/RAD51/BRIP1/BLM/BRCA1/BRCA2/RMI1,7
R-HSA-3214841,PKMTs methylate histone lysines,10/428,70/11230,0.14285714285714285,3.748331108144192,4.591201094718982,2.9756422992335255e-4,0.001698732059837161,0.001276996290359327,H3C12/H3C10/H3C2/H3C8/H4C14/H3C3/H3C7/EZH2/H3C13/H4C9,10
R-HSA-2132295,MHC class II antigen presentation,14/428,126/11230,0.1111111111111111,2.9153686396677045,4.303663009917231,3.084816030682938e-4,0.0017514338010270888,0.0013166140320775037,KIF4A/TUBB3/KIF20A/KIF2C/KIF15/KIF23/LAG3/KIF11/CENPE/RACGAP1/TUBA1C/HLA-DQB1/CTSD/CLTC,14
R-HSA-1266695,Interleukin-7 signaling,7/428,36/11230,0.19444444444444445,5.101895119418485,4.906632033261242,3.556454574151709e-4,0.001997674332600642,0.0015017216501592386,H3C12/H3C10/H3C2/H3C8/H3C3/H3C7/H3C13,7
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,6/428,26/11230,0.23076923076923078,6.054996405463696,5.136429291603196,3.556975471906822e-4,0.001997674332600642,0.0015017216501592386,NEK2/UBE2C/CDC20/BUB1B/UBE2S/MAD2L1,6
R-HSA-3700989,Transcriptional Regulation by TP53,27/428,348/11230,0.07758620689655173,2.035731550112794,3.9068146349808126,3.624939462985694e-4,0.002024898979592546,0.001522187369289975,EXO1/E2F7/TPX2/CDK1/AURKB/CCNE2/AURKA/CCNE1/CDC25C/E2F1/E2F8/CCNA2/BIRC5/CCNB1/BRIP1/CDKN2A/BLM/CHEK1/FANCI/PMAIP1/CDK5/BRCA1/CDK5R1/SCO2/FANCD2/RMI1/ARID3A,27
R-HSA-5689603,UCH proteinases,11/428,87/11230,0.12643678160919541,3.3174884520356644,4.319330925089423,4.459429796280474e-4,0.0024777259670242845,0.0018625932501210877,H2AC13/H2AC17/H2AC14/H2AC16/H2AC4/H2AC12/H2AC18/PSMD3/H2AC11/H2AC7/H2AC21,11
R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,9/428,61/11230,0.14754098360655737,3.8712272100505594,4.47574847182476,4.6495762972053765e-4,0.002569632857870418,0.0019316828737549773,NEK2/UBE2C/CDC20/CDK1/BUB1B/CCNA2/PSMD3/UBE2S/MAD2L1,9
R-HSA-913531,Interferon Signaling,23/428,286/11230,0.08041958041958042,2.110074504934318,3.7851878872344438,5.962946533343383e-4,0.0032780430942559655,0.0024642196200171484,TUBB3/ISG15/CDK1/GBP5/FCGR1A/KPNA2/OASL/OAS2/RSAD2/TUBA1C/OAS3/FANCA/IRF7/HLA-DQB1/STAT1/NUP210/IFITM1/BST2/UBE2L6/ISG20/IFIH1/FANCB/ADAR,23
R-HSA-176412,Phosphorylation of the APC/C,5/428,20/11230,0.25,6.559579439252336,4.953298157869316,7.575513972206981e-4,0.004078217107317644,0.0030657384059872275,UBE2C/PLK1/CDK1/CCNB1/UBE2S,5
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",5/428,20/11230,0.25,6.559579439252336,4.953298157869316,7.575513972206981e-4,0.004078217107317644,0.0030657384059872275,BGN/SDC1/GPC2/VCAN/GPC4,5
