ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0120544,polypeptide conformation or assembly isomerase activity,13/604,122/18662,0.10655737704918032,3.2923406796221903,4.645744412657417,1.6337173877078285e-4,0.005327339307742919,0.004987137288792319,KIF4A/KIF26B/KIF20A/KIF14/KIF2C/KIF18B/KIFC1/KIF15/KIF23/KIF11/CENPE/KIFC2/KIF24,13
GO:0016887,ATP hydrolysis activity,27/604,400/18662,0.0675,2.0855711920529805,4.013887885126212,2.783003553547559e-4,0.008355623354997335,0.007822036179344873,KIF20A/KIF14/KIF2C/KIF18B/ERCC6L/TRIP13/KIFC1/RECQL4/KIF15/POLQ/KIF23/ORC1/BRIP1/BLM/KIFC2/MCM2/TAP1/ATAD2/PIF1/CHTF18/DDX39A/HELZ2/SMC4/IFIH1/ABCC5/MCM6/TOR3A,27
GO:0008574,plus-end-directed microtubule motor activity,5/604,19/18662,0.2631578947368421,8.130881840362497,5.687393041383235,2.7852077849991117e-4,0.008355623354997335,0.007822036179344873,KIF14/KIF18B/KIF15/KIF11/KIFC2,5
GO:0048407,platelet-derived growth factor binding,4/604,11/18662,0.36363636363636365,11.235400361228175,6.2101375251394995,2.9899915966831664e-4,0.00862497575966298,0.008074187833958187,COL1A1/COL5A1/COL1A2/COL3A1,4
GO:0005178,integrin binding,14/604,152/18662,0.09210526315789473,2.845808644126873,4.178845950044688,4.2866365542074586e-4,0.011907323761687386,0.011146926244274366,IBSP/COMP/CCN4/FN1/ESM1/SPP1/ISG15/COL5A1/COL3A1/MMP14/THY1/SEMA7A/EDIL3/SFRP2,14
GO:0003684,damaged DNA binding,9/604,74/18662,0.12162162162162163,3.7577859316269917,4.347215616125849,6.226328534769443e-4,0.016677665718132437,0.015612635837185033,NEIL3/AUNIP/RECQL4/POLQ/BLM/H2AX/FEN1/BRCA1/PARP1,9
GO:0004222,metalloendopeptidase activity,11/604,109/18662,0.10091743119266056,3.1180812929096544,4.0560182701990115,8.116985084969476e-4,0.020871044553703387,0.019538226971677418,MMP1/MMP11/MMP13/ADAMTS20/ADAMTS14/ADAMDEC1/MMP9/ADAM8/MMP14/ADAM19/ADAMTS7,11
GO:0005539,glycosaminoglycan binding,18/604,240/18662,0.075,2.317301324503311,3.756414097684437,8.550526651869495e-4,0.020871044553703387,0.019538226971677418,EPYC/HAPLN1/COMP/CXCL11/CXCL10/CCN4/FN1/CEMIP/BGN/ACAN/COL5A1/SULF1/HMMR/POSTN/NOD2/VCAN/THBS2/SULF2,18
GO:0005540,hyaluronic acid binding,5/604,24/18662,0.20833333333333334,6.43694812362031,4.874300027601472,8.904979009580112e-4,0.020871044553703387,0.019538226971677418,HAPLN1/CEMIP/ACAN/HMMR/VCAN,5
GO:0035173,histone kinase activity,5/604,24/18662,0.20833333333333334,6.43694812362031,4.874300027601472,8.904979009580112e-4,0.020871044553703387,0.019538226971677418,BUB1/CDK1/AURKA/HASPIN/CHEK1,5
GO:0008301,"DNA binding, bending",4/604,17/18662,0.23529411764705882,7.269964939618231,4.7299819190419825,0.0018472588699489827,0.041983156135204154,0.039302126515342,TOP2A/LEF1/HMGB3/HMGA1,4
GO:0003697,single-stranded DNA binding,11/604,122/18662,0.09016393442622951,2.7858267289110845,3.6192240627952033,0.002038522432802576,0.044967406605939175,0.042095803798121306,CDC45/NEIL3/MCM10/RAD51/RECQL4/RAD51AP1/BLM/MCM2/SMC4/BRCA2/MCM6,11
