"","symbol","mean_log2FC","tcga_log2FC","top_subtype","HR","cox_padj","mean_tpm","total_score"
"1","PLK1",3.286,3.564,"Basal-like",1.00026055663947,0.327342240623868,5.63201407512759,10
"2","TOP2A",3.667,3.466,"HER2-enriched",0.999996300597603,0.930462802792726,6.56452284090183,10
"3","CDK1",3.019,3.164,"Basal-like",0.99996672419997,0.888618681754135,6.24199443539801,10
