"symbol","HR","HR_lower","HR_upper","pvalue","padj"
"MMP13",1.00017152905178,1.00010599625685,1.00023706614079,2.89147534161614e-07,0.00014515206214913
"ULBP2",1.00386661985652,1.00191354167367,1.00582350526847,0.000102768394553962,0.0257948670330446
"SHCBP1",1.00113745521177,1.00053405998349,1.0017412143315,0.000219283716369315,0.0282608188628823
"MAL2",1.00002529179484,1.00001185399634,1.00003872977391,0.000225185807672369,0.0282608188628823
"MMP1",1.00008459479045,1.00003682584779,1.0001323660149,0.000518532268952334,0.0520606398028144
"PSME2",0.999774204786358,0.999644155875793,0.999904270615662,0.000668093403405522,0.0558971480849287
"MMP9",1.00000302426129,1.00000125055796,1.00000479796778,0.000832226245452508,0.0596825107453085
"SDC1",1.00003247525722,1.00001219724695,1.00005275367869,0.0016958113213791,0.106412160416539
"CDK5R1",1.001296340458,1.0004509395438,1.00214245575277,0.00264628520694152,0.145533341882334
"SLC35A2",1.00045581774158,1.00015582332305,1.00075590214274,0.00289907055542498,0.145533341882334
"KIAA0319",1.00209268144518,1.00069124225618,1.00349608330929,0.00341476470010728,0.14992329024406
"MFAP2",1.00015654948603,1.00005120219375,1.0002619078758,0.00358382367117275,0.14992329024406
"RACGAP1",1.00028882461518,1.0000917813969,1.00048590665593,0.00406550657997532,0.156991100242124
"TNFSF4",1.00145976080678,1.00044280973565,1.00247774560965,0.00489274998192267,0.175440035066084
"PLAU",1.00008103940973,1.0000241212272,1.00013796083185,0.00526094180623971,0.176066185782156
"BCL3",0.999642157833161,0.999383826951605,0.999900555490708,0.00664515984900214,0.208491890262442
"TBX20",1.00472368971218,1.00126318848138,1.00819615090406,0.00742627544239771,0.210809909708536
"OLFML2B",1.00008714161633,1.00002281826805,1.00015146910201,0.00792430492148696,0.210809909708536
"EIF4EBP1",1.00010599630587,1.00002693868527,1.00018506017641,0.00859258469450104,0.210809909708536
"CXCL9",0.999923643825914,0.99986662110209,0.999980669801763,0.00868244246948364,0.210809909708536
"WT1",1.00053038059244,1.0001334369553,1.00092748177281,0.00881874124278737,0.210809909708536
"HLA-DQB1",0.999896229384224,0.999816902128914,0.9999755629335,0.0103575185137353,0.236339740631597
"CTHRC1",1.00012764257121,1.00002874280742,1.0002265521159,0.0114187379238234,0.249226366859103
"RAD54B",1.00116242385229,1.00024996470907,1.00207571536913,0.0125178103731705,0.261830866972151
"BOP1",1.00030587270857,1.00006326535733,1.0005485389144,0.0134680401924393,0.270438247064181
"CXCR3",0.998037396235593,0.996431833480857,0.999645546053159,0.0167779667896581,0.303948911860753
"TUBA1C",1.00007269276046,1.00001307212043,1.00013231695507,0.0168616164287517,0.303948911860753
"MTHFD2",1.00013254167029,1.00002374325304,1.00024135192435,0.0169533257611575,0.303948911860753
"CHPF",1.00008881695585,1.00001523198873,1.00016240733764,0.0179964141482319,0.311524134565945
"IL12B",0.973469967540213,0.951606561631051,0.995835690832654,0.0203394214978568,0.327342240623868
"TDRKH",1.00045386709247,1.00006935340804,1.00083852861742,0.020692081361646,0.327342240623868
"GRIN2D",1.00107910850013,1.00015770402603,1.00200136182657,0.0216984880190463,0.327342240623868
"RAD51",1.00112328406085,1.00015706194652,1.00209043961374,0.0226825144063026,0.327342240623868
